んでしたろう,733,733,7970,助動詞,*,ナ形容詞,デス列タ系推量形,んだ,んでしたろう,*
んでしたら,726,726,7970,助動詞,*,ナ形容詞,デス列タ系条件形,んだ,んでしたら,*
んでして,747,747,7970,助動詞,*,ナ形容詞,デス列タ系連用テ形,んだ,んでして,*
んでしたり,740,740,7970,助動詞,*,ナ形容詞,デス列タ系連用タリ形,んだ,んでしたり,*
わけ,781,781,7572,助動詞,*,ナ形容詞,語幹,わけだ,わけ,*
わけだ,774,774,6657,助動詞,*,ナ形容詞,基本形,わけだ,わけだ,*
わけなれ,641,641,6703,助動詞,*,ナ形容詞,ダ列命令形,わけだ,わけなれ,*
わけな,613,613,6703,助動詞,*,ナ形容詞,ダ列基本連体形,わけだ,わけな,*
わけだろう,606,606,7151,助動詞,*,ナ形容詞,ダ列基本推量形,わけだ,わけだろう,*
わけならば,599,599,6703,助動詞,*,ナ形容詞,ダ列基本条件形,わけだ,わけならば,*
わけに,620,620,6005,助動詞,*,ナ形容詞,ダ列基本連用形,わけだ,わけに,*
わけだった,557,557,6703,助動詞,*,ナ形容詞,ダ列タ形,わけだ,わけだった,*
わけだったろう,571,571,6703,助動詞,*,ナ形容詞,ダ列タ系推量形,わけだ,わけだったろう,*
わけだったら,564,564,6703,助動詞,*,ナ形容詞,ダ列タ系条件形,わけだ,わけだったら,*
わけで,592,592,6278,助動詞,*,ナ形容詞,ダ列タ系連用テ形,わけだ,わけで,*
わけだったり,585,585,6703,助動詞,*,ナ形容詞,ダ列タ系連用タリ形,わけだ,わけだったり,*
わけじゃ,578,578,6698,助動詞,*,ナ形容詞,ダ列タ系連用ジャ形,わけだ,わけじゃ,*
わけなる,634,634,6703,助動詞,*,ナ形容詞,ダ列文語連体形,わけだ,わけなる,*
わけなれば,627,627,6703,助動詞,*,ナ形容詞,ダ列文語条件形,わけだ,わけなれば,*
わけである,683,683,6690,助動詞,*,ナ形容詞,デアル列基本形,わけだ,わけである,*
わけであれ,711,711,6703,助動詞,*,ナ形容詞,デアル列命令形,わけだ,わけであれ,*
わけであろう,697,697,6703,助動詞,*,ナ形容詞,デアル列基本推量形,わけだ,わけであろう,*
わけであれば,690,690,6703,助動詞,*,ナ形容詞,デアル列基本条件形,わけだ,わけであれば,*
わけであり,704,704,6703,助動詞,*,ナ形容詞,デアル列基本連用形,わけだ,わけであり,*
わけであった,648,648,6703,助動詞,*,ナ形容詞,デアル列タ形,わけだ,わけであった,*
わけであったろう,662,662,6703,助動詞,*,ナ形容詞,デアル列タ系推量形,わけだ,わけであったろう,*
わけであったら,655,655,6703,助動詞,*,ナ形容詞,デアル列タ系条件形,わけだ,わけであったら,*
わけであって,676,676,6703,助動詞,*,ナ形容詞,デアル列タ系連用テ形,わけだ,わけであって,*
わけであったり,669,669,6703,助動詞,*,ナ形容詞,デアル列タ系連用タリ形,わけだ,わけであったり,*
わけです,753,753,6699,助動詞,*,ナ形容詞,デス列基本形,わけだ,わけです,*
わけでしょう,760,760,6703,助動詞,*,ナ形容詞,デス列基本推量形,わけだ,わけでしょう,*
わけでしょ,767,767,6703,助動詞,*,ナ形容詞,デス列省略推量形,わけだ,わけでしょ,*
わけでした,718,718,6703,助動詞,*,ナ形容詞,デス列タ形,わけだ,わけでした,*
わけでしたろう,732,732,6703,助動詞,*,ナ形容詞,デス列タ系推量形,わけだ,わけでしたろう,*
わけでしたら,725,725,6703,助動詞,*,ナ形容詞,デス列タ系条件形,わけだ,わけでしたら,*
わけでして,746,746,6703,助動詞,*,ナ形容詞,デス列タ系連用テ形,わけだ,わけでして,*
わけでしたり,739,739,6703,助動詞,*,ナ形容詞,デス列タ系連用タリ形,わけだ,わけでしたり,*
よう,780,780,7960,助動詞,*,ナ形容詞,語幹,ようだ,よう,*
ようだ,773,773,6190,助動詞,*,ナ形容詞,基本形,ようだ,ようだ,*
ようなれ,640,640,6350,助動詞,*,ナ形容詞,ダ列命令形,ようだ,ようなれ,*
ような,612,612,6039,助動詞,*,ナ形容詞,ダ列基本連体形,ようだ,ような,*
ようだろう,605,605,6350,助動詞,*,ナ形容詞,ダ列基本推量形,ようだ,ようだろう,*
ようならば,598,598,6350,助動詞,*,ナ形容詞,ダ列基本条件形,ようだ,ようならば,*
ように,619,619,4155,助動詞,*,ナ形容詞,ダ列基本連用形,ようだ,ように,*
ようだった,556,556,6568,助動詞,*,ナ形容詞,ダ列タ形,ようだ,ようだった,*
ようだったろう,570,570,6350,助動詞,*,ナ形容詞,ダ列タ系推量形,ようだ,ようだったろう,*
ようだったら,563,563,6350,助動詞,*,ナ形容詞,ダ列タ系条件形,ようだ,ようだったら,*
ようで,591,591,6632,助動詞,*,ナ形容詞,ダ列タ系連用テ形,ようだ,ようで,*
ようだったり,584,584,6350,助動詞,*,ナ形容詞,ダ列タ系連用タリ形,ようだ,ようだったり,*
ようじゃ,577,577,6350,助動詞,*,ナ形容詞,ダ列タ系連用ジャ形,ようだ,ようじゃ,*
ようなる,633,633,6350,助動詞,*,ナ形容詞,ダ列文語連体形,ようだ,ようなる,*
ようなれば,626,626,6350,助動詞,*,ナ形容詞,ダ列文語条件形,ようだ,ようなれば,*
ようである,682,682,6327,助動詞,*,ナ形容詞,デアル列基本形,ようだ,ようである,*
ようであれ,710,710,6350,助動詞,*,ナ形容詞,デアル列命令形,ようだ,ようであれ,*
ようであろう,696,696,6350,助動詞,*,ナ形容詞,デアル列基本推量形,ようだ,ようであろう,*
ようであれば,689,689,6350,助動詞,*,ナ形容詞,デアル列基本条件形,ようだ,ようであれば,*
ようであり,703,703,6342,助動詞,*,ナ形容詞,デアル列基本連用形,ようだ,ようであり,*
ようであった,647,647,6350,助動詞,*,ナ形容詞,デアル列タ形,ようだ,ようであった,*
ようであったろう,661,661,6350,助動詞,*,ナ形容詞,デアル列タ系推量形,ようだ,ようであったろう,*
ようであったら,654,654,6350,助動詞,*,ナ形容詞,デアル列タ系条件形,ようだ,ようであったら,*
ようであって,675,675,6350,助動詞,*,ナ形容詞,デアル列タ系連用テ形,ようだ,ようであって,*
ようであったり,668,668,6350,助動詞,*,ナ形容詞,デアル列タ系連用タリ形,ようだ,ようであったり,*
ようです,752,752,6311,助動詞,*,ナ形容詞,デス列基本形,ようだ,ようです,*
ようでしょう,759,759,6350,助動詞,*,ナ形容詞,デス列基本推量形,ようだ,ようでしょう,*
ようでしょ,766,766,6350,助動詞,*,ナ形容詞,デス列省略推量形,ようだ,ようでしょ,*
ようでした,717,717,6347,助動詞,*,ナ形容詞,デス列タ形,ようだ,ようでした,*
ようでしたろう,731,731,6350,助動詞,*,ナ形容詞,デス列タ系推量形,ようだ,ようでしたろう,*
ようでしたら,724,724,6350,助動詞,*,ナ形容詞,デス列タ系条件形,ようだ,ようでしたら,*
ようでして,745,745,6350,助動詞,*,ナ形容詞,デス列タ系連用テ形,ようだ,ようでして,*
ようでしたり,738,738,6350,助動詞,*,ナ形容詞,デス列タ系連用タリ形,ようだ,ようでしたり,*
べき,778,778,6883,助動詞,*,ナ形容詞,語幹,べきだ,べき,*
べきだ,771,771,6548,助動詞,*,ナ形容詞,基本形,べきだ,べきだ,*
べきなれ,638,638,6637,助動詞,*,ナ形容詞,ダ列命令形,べきだ,べきなれ,*
べきな,610,610,6548,助動詞,*,ナ形容詞,ダ列基本連体形,べきだ,べきな,*
べきだろう,603,603,6646,助動詞,*,ナ形容詞,ダ列基本推量形,べきだ,べきだろう,*
べきならば,596,596,6637,助動詞,*,ナ形容詞,ダ列基本条件形,べきだ,べきならば,*
べきに,617,617,6637,助動詞,*,ナ形容詞,ダ列基本連用形,べきだ,べきに,*
べきだった,554,554,6614,助動詞,*,ナ形容詞,ダ列タ形,べきだ,べきだった,*
べきだったろう,568,568,6637,助動詞,*,ナ形容詞,ダ列タ系推量形,べきだ,べきだったろう,*
べきだったら,561,561,6637,助動詞,*,ナ形容詞,ダ列タ系条件形,べきだ,べきだったら,*
べきで,589,589,6528,助動詞,*,ナ形容詞,ダ列タ系連用テ形,べきだ,べきで,*
べきだったり,582,582,6637,助動詞,*,ナ形容詞,ダ列タ系連用タリ形,べきだ,べきだったり,*
べきじゃ,575,575,6637,助動詞,*,ナ形容詞,ダ列タ系連用ジャ形,べきだ,べきじゃ,*
べきなる,631,631,6637,助動詞,*,ナ形容詞,ダ列文語連体形,べきだ,べきなる,*
べきなれば,624,624,6637,助動詞,*,ナ形容詞,ダ列文語条件形,べきだ,べきなれば,*
べきである,680,680,6513,助動詞,*,ナ形容詞,デアル列基本形,べきだ,べきである,*
べきであれ,708,708,6637,助動詞,*,ナ形容詞,デアル列命令形,べきだ,べきであれ,*
べきであろう,694,694,6604,助動詞,*,ナ形容詞,デアル列基本推量形,べきだ,べきであろう,*
べきであれば,687,687,6637,助動詞,*,ナ形容詞,デアル列基本条件形,べきだ,べきであれば,*
べきであり,701,701,6635,助動詞,*,ナ形容詞,デアル列基本連用形,べきだ,べきであり,*
べきであった,645,645,6634,助動詞,*,ナ形容詞,デアル列タ形,べきだ,べきであった,*
べきであったろう,659,659,6637,助動詞,*,ナ形容詞,デアル列タ系推量形,べきだ,べきであったろう,*
べきであったら,652,652,6637,助動詞,*,ナ形容詞,デアル列タ系条件形,べきだ,べきであったら,*
べきであって,673,673,6637,助動詞,*,ナ形容詞,デアル列タ系連用テ形,べきだ,べきであって,*
べきであったり,666,666,6637,助動詞,*,ナ形容詞,デアル列タ系連用タリ形,べきだ,べきであったり,*
べきです,750,750,6636,助動詞,*,ナ形容詞,デス列基本形,べきだ,べきです,*
べきでしょう,757,757,6637,助動詞,*,ナ形容詞,デス列基本推量形,べきだ,べきでしょう,*
べきでしょ,764,764,6637,助動詞,*,ナ形容詞,デス列省略推量形,べきだ,べきでしょ,*
べきでした,715,715,6637,助動詞,*,ナ形容詞,デス列タ形,べきだ,べきでした,*
べきでしたろう,729,729,6637,助動詞,*,ナ形容詞,デス列タ系推量形,べきだ,べきでしたろう,*
べきでしたら,722,722,6637,助動詞,*,ナ形容詞,デス列タ系条件形,べきだ,べきでしたら,*
べきでして,743,743,6637,助動詞,*,ナ形容詞,デス列タ系連用テ形,べきだ,べきでして,*
べきでしたり,736,736,6637,助動詞,*,ナ形容詞,デス列タ系連用タリ形,べきだ,べきでしたり,*
みたい,779,779,7614,助動詞,*,ナ形容詞,語幹,みたいだ,みたい,*
みたいだ,772,772,7118,助動詞,*,ナ形容詞,基本形,みたいだ,みたいだ,*
みたいなれ,639,639,7122,助動詞,*,ナ形容詞,ダ列命令形,みたいだ,みたいなれ,*
みたいな,611,611,7096,助動詞,*,ナ形容詞,ダ列基本連体形,みたいだ,みたいな,*
みたいだろう,604,604,7122,助動詞,*,ナ形容詞,ダ列基本推量形,みたいだ,みたいだろう,*
みたいならば,597,597,7122,助動詞,*,ナ形容詞,ダ列基本条件形,みたいだ,みたいならば,*
みたいに,618,618,7085,助動詞,*,ナ形容詞,ダ列基本連用形,みたいだ,みたいに,*
みたいだった,555,555,7122,助動詞,*,ナ形容詞,ダ列タ形,みたいだ,みたいだった,*
みたいだったろう,569,569,7122,助動詞,*,ナ形容詞,ダ列タ系推量形,みたいだ,みたいだったろう,*
みたいだったら,562,562,7122,助動詞,*,ナ形容詞,ダ列タ系条件形,みたいだ,みたいだったら,*
みたいで,590,590,7124,助動詞,*,ナ形容詞,ダ列タ系連用テ形,みたいだ,みたいで,*
みたいだったり,583,583,7122,助動詞,*,ナ形容詞,ダ列タ系連用タリ形,みたいだ,みたいだったり,*
